group,load,run,cpu_avg,duration_seconds,mem_avg_gb,rx_bytes,tx_bytes,resource_source,network_bytes,icce,details
G0,contention,1,0.28025999999999995,182.69642090797424,0.4546609224817778,30654180.0,33735090.0,docker-stats,64389270.0,0.9479607077671284,"{""cpu_ratio"": 0.7770773063684038, ""duration_ratio"": 0.9967835121099469, ""memory_ratio"": 1.0163932031348335, ""network_ratio"": 1.0015888094553296}"
G0,contention,2,0.2837195652173913,183.78635692596436,0.444553597106087,30750340.0,33833140.0,docker-stats,64583480.0,0.9469519738660728,"{""cpu_ratio"": 0.7866696478382399, ""duration_ratio"": 1.0027301543407465, ""memory_ratio"": 0.9937983059141776, ""network_ratio"": 1.004609787371127}"
G0,contention,3,0.5179977272727272,183.37509608268738,0.44276884200727273,30452880.0,33435760.0,docker-stats,63888640.0,1.1050873183667989,"{""cpu_ratio"": 1.436253045793356, ""duration_ratio"": 1.0004863335493068, ""memory_ratio"": 0.9898084909509888, ""network_ratio"": 0.9938014031735435}"
G0,spike,1,0.6384363636363637,182.12080693244934,0.45766052770909094,44254590.0,48936470.0,docker-stats,93191060.0,1.0045360928405946,"{""cpu_ratio"": 1.0050854144977632, ""duration_ratio"": 0.9994080033883916, ""memory_ratio"": 1.019810582111128, ""network_ratio"": 0.9938403713650961}"
G0,spike,2,0.6508840909090909,181.92640209197998,0.43889697512727266,44373450.0,49054590.0,docker-stats,93428040.0,0.9993475357644412,"{""cpu_ratio"": 1.0246817749779287, ""duration_ratio"": 0.9983411853968889, ""memory_ratio"": 0.9779995271426732, ""network_ratio"": 0.9963676555402744}"
G0,spike,3,0.6162977777777777,182.63884806632996,0.4497528877511111,44952880.0,49733940.0,docker-stats,94686820.0,0.9961163713949638,"{""cpu_ratio"": 0.9702328105243078, ""duration_ratio"": 1.0022508112147193, ""memory_ratio"": 1.0021898907461986, ""network_ratio"": 1.0097919730946294}"
G0,steady,1,0.2967391304347826,184.02854204177856,0.4424411723686956,25652580.0,27115740.0,docker-stats,52768320.0,1.0369494232060519,"{""cpu_ratio"": 1.1503616827024368, ""duration_ratio"": 1.00570932625393, ""memory_ratio"": 0.9932902002875383, ""network_ratio"": 0.9984364835803025}"
G0,steady,2,0.23088913043478262,182.86501097679138,0.4444656079026087,25252080.0,26745240.0,docker-stats,51997320.0,0.9690291456232778,"{""cpu_ratio"": 0.8950825198398763, ""duration_ratio"": 0.9993506710667465, ""memory_ratio"": 0.997835102757135, ""network_ratio"": 0.9838482888293532}"
G0,steady,3,0.24623043478260873,182.05792999267578,0.44938297344000006,26152020.0,27635200.0,docker-stats,53787220.0,0.9940214311706702,"{""cpu_ratio"": 0.9545557974576866, ""duration_ratio"": 0.9949400026793233, ""memory_ratio"": 1.0088746969553266, ""network_ratio"": 1.0177152275903443}"
G1,contention,1,0.6370863636363636,183.35179591178894,0.8065465474327274,39280200.0,42201970.0,docker-stats,81482170.0,1.4593286295536552,"{""cpu_ratio"": 1.7664502796638368, ""duration_ratio"": 1.0003592088576163, ""memory_ratio"": 1.8030325200322135, ""network_ratio"": 1.2674725096609538}"
G1,contention,2,0.49386444444444444,183.08363890647888,0.8005574838044445,40011240.0,43032300.0,docker-stats,83043540.0,1.362409687934045,"{""cpu_ratio"": 1.3693386576750772, ""duration_ratio"": 0.9988961562142123, ""memory_ratio"": 1.7896439852716244, ""network_ratio"": 1.2917599525752665}"
G1,contention,3,0.4482022222222222,182.82016587257385,0.8075279510186666,40396100.0,43356790.0,docker-stats,83752890.0,1.3370525238064028,"{""cpu_ratio"": 1.2427309482365563, ""duration_ratio"": 0.9974586591095788, ""memory_ratio"": 1.8052264449660653, ""network_ratio"": 1.3027940429134106}"
G1,spike,1,0.5562666666666667,181.7168619632721,0.7810812331804445,55339600.0,59791560.0,docker-stats,115131160.0,1.2103080273289422,"{""cpu_ratio"": 0.8757262980032912, ""duration_ratio"": 0.9971913108428004, ""memory_ratio"": 1.7404929174756187, ""network_ratio"": 1.2278215829940586}"
G1,spike,2,0.55758,181.74734687805176,0.7968972545137778,55238300.0,59710120.0,docker-stats,114948420.0,1.2191902911945283,"{""cpu_ratio"": 0.8777938684815587, ""duration_ratio"": 0.9973586001730345, ""memory_ratio"": 1.775735952314929, ""network_ratio"": 1.225872743808591}"
G1,spike,3,0.6730522727272727,182.27872490882874,0.8028000330472728,53945640.0,58348490.0,docker-stats,112294130.0,1.2615776747332037,"{""cpu_ratio"": 1.0595809716409805, ""duration_ratio"": 1.0002745956912196, ""memory_ratio"": 1.7888891863122969, ""network_ratio"": 1.197565945288318}"
G1,steady,1,0.6531533333333334,182.290687084198,0.7987816620942222,34907240.0,36309790.0,docker-stats,71217030.0,1.6672664543223386,"{""cpu_ratio"": 2.532064330360278, ""duration_ratio"": 0.9962120117660577, ""memory_ratio"": 1.7932824670901273, ""network_ratio"": 1.3475070080728913}"
G1,steady,2,0.6884250000000001,182.05303311347961,0.7806748411345454,34366100.0,35767110.0,docker-stats,70133210.0,1.6858366448863902,"{""cpu_ratio"": 2.668801179858136, ""duration_ratio"": 0.9949132414116282, ""memory_ratio"": 1.7526322542690196, ""network_ratio"": 1.3269999040067773}"
G1,steady,3,0.5905409090909091,182.30209708213806,0.7879705469672726,35157620.0,36708200.0,docker-stats,71865820.0,1.60360117375213,"{""cpu_ratio"": 2.289336202108166, ""duration_ratio"": 0.9962743669921197, ""memory_ratio"": 1.7690112749397942, ""network_ratio"": 1.3597828509684404}"
G2,contention,1,1.2520069767441862,183.96692991256714,1.1434987081823256,44610580.0,47464640.0,docker-stats,92075220.0,2.115923670518255,"{""cpu_ratio"": 3.4714415508557095, ""duration_ratio"": 1.0037153524901332, ""memory_ratio"": 2.556288120047439, ""network_ratio"": 1.4322496586797389}"
G2,contention,2,1.1908454545454545,184.95862197875977,1.1217289513890911,44538790.0,47402220.0,docker-stats,91941010.0,2.0621921935299627,"{""cpu_ratio"": 3.301858910009418, ""duration_ratio"": 1.0091259801081147, ""memory_ratio"": 2.5076218904586653, ""network_ratio"": 1.4301619935436534}"
G2,contention,3,1.2529232558139536,183.51560997962952,1.1428324966399999,44382690.0,47175810.0,docker-stats,91558500.0,2.1135614663258964,"{""cpu_ratio"": 3.4739821191544915, ""duration_ratio"": 1.0012529710947944, ""memory_ratio"": 2.55479880603344, ""network_ratio"": 1.4242119690208601}"
G2,spike,1,1.622425581395349,182.37182211875916,1.1401159532353489,59077790.0,63452180.0,docker-stats,122529970.0,1.8505546043867018,"{""cpu_ratio"": 2.5541720065577413, ""duration_ratio"": 1.000785476892905, ""memory_ratio"": 2.5405343995106113, ""network_ratio"": 1.30672653458555}"
G2,spike,2,1.5072558139534884,182.7385289669037,1.1725842555832557,60344650.0,64717940.0,docker-stats,125062590.0,1.8305696627372832,"{""cpu_ratio"": 2.3728611351224096, ""duration_ratio"": 1.0027978211445363, ""memory_ratio"": 2.612883916921093, ""network_ratio"": 1.3337357777610936}"
G2,spike,3,1.480253488372093,182.43833088874817,1.1300747406883722,60593920.0,64739460.0,docker-stats,125333380.0,1.7965712767217976,"{""cpu_ratio"": 2.330351583434595, ""duration_ratio"": 1.0011504510995435, ""memory_ratio"": 2.5181594421073745, ""network_ratio"": 1.336623630245677}"
G2,steady,1,1.3894585365853658,182.98341584205627,1.126812812862439,36454750.0,37849630.0,docker-stats,74304380.0,2.580530536324157,"{""cpu_ratio"": 5.386481580132887, ""duration_ratio"": 0.9999977493729133, ""memory_ratio"": 2.529719642913341, ""network_ratio"": 1.405923172877487}"
G2,steady,2,1.1912093023255814,183.6193220615387,1.0939673919106978,37556890.0,38931870.0,docker-stats,76488760.0,2.3811603521830778,"{""cpu_ratio"": 4.617933386359441, ""duration_ratio"": 1.003472953862721, ""memory_ratio"": 2.4559809477077863, ""network_ratio"": 1.447254120802362}"
G2,steady,3,1.1584302325581395,182.41017389297485,1.113245095888372,38213780.0,39616430.0,docker-stats,77830210.0,2.364905056910491,"{""cpu_ratio"": 4.490859529265348, ""duration_ratio"": 0.9968650028543853, ""memory_ratio"": 2.4992598187553274, ""network_ratio"": 1.4726358767669028}"
G3,contention,1,1.7839795454545453,183.87263083457947,1.8527129674472724,78636610.0,81365600.0,docker-stats,160002210.0,3.1450616406731653,"{""cpu_ratio"": 4.946442659666552, ""duration_ratio"": 1.0032008609326186, ""memory_ratio"": 4.14173458584105, ""network_ratio"": 2.4888684562524412}"
G3,contention,2,1.6939545454545455,184.2492549419403,1.8252579113890908,78563590.0,81482740.0,docker-stats,160046330.0,3.0679998889074906,"{""cpu_ratio"": 4.696830212275502, ""duration_ratio"": 1.0052557052399929, ""memory_ratio"": 4.080358885864679, ""network_ratio"": 2.489554752249789}"
G3,contention,3,1.5730477272727272,183.0833969116211,1.8114236192581818,78613090.0,81485190.0,docker-stats,160098280.0,2.975070437387491,"{""cpu_ratio"": 4.361591703054416, ""duration_ratio"": 0.9988948359010772, ""memory_ratio"": 4.049432365029581, ""network_ratio"": 2.49036284556489}"
G3,spike,1,1.904753488372093,181.7709379196167,1.756685469172093,110785600.0,115095460.0,docker-stats,225881060.0,2.5798723873088627,"{""cpu_ratio"": 2.998638640306114, ""duration_ratio"": 0.9974880586140845, ""memory_ratio"": 3.9144438343201395, ""network_ratio"": 2.4089190159951133}"
G3,spike,2,1.8731139534883718,182.28983879089355,1.7783970887441862,111325860.0,115724700.0,docker-stats,227050560.0,2.5833449141019758,"{""cpu_ratio"": 2.948828765987561, ""duration_ratio"": 1.0003355843441437, ""memory_ratio"": 3.962824103217758, ""network_ratio"": 2.4213912028584397}"
G3,spike,3,2.065860465116279,182.1007559299469,1.759789254132093,111375220.0,115763540.0,docker-stats,227138760.0,2.648814481909574,"{""cpu_ratio"": 3.2522681039806502, ""duration_ratio"": 0.9992979713019188, ""memory_ratio"": 3.9213600365162296, ""network_ratio"": 2.422331815839496}"
G3,steady,1,1.7329023255813951,183.66697192192078,1.7452469681413953,52493160.0,53997790.0,docker-stats,106490950.0,3.4136707637906265,"{""cpu_ratio"": 6.717902125998525, ""duration_ratio"": 1.0037333586262933, ""memory_ratio"": 3.9181179754487063, ""network_ratio"": 2.0149295950889816}"
G3,steady,2,1.7193023255813955,183.24505496025085,1.771765942891163,52390050.0,53804800.0,docker-stats,106194850.0,3.413396906629875,"{""cpu_ratio"": 6.66517932243086, ""duration_ratio"": 1.0014275976907976, ""memory_ratio"": 3.977653659254069, ""network_ratio"": 2.0093270471437727}"
G3,steady,3,1.453027906976744,182.86312103271484,1.7838765079813952,52945870.0,54443620.0,docker-stats,107389490.0,3.167258239612533,"{""cpu_ratio"": 5.632919479255303, ""duration_ratio"": 0.9993403425907244, ""memory_ratio"": 4.004842145261533, ""network_ratio"": 2.0319309913425716}"
