group,profile,run,project,status,http_reqs,http_req_rate,http_req_failed_rate,http_req_duration_avg_ms,http_req_duration_p90_ms,http_req_duration_p95_ms,http_req_duration_max_ms,checks_rate,checks_passes,checks_fails,iterations
G0,contention,1,tcc-bes-g0-contention-run1,success,14256,78.49062164239835,0,5.897524380050515,11.771331,17.7895765,525.778025,1,14256,0,3526
G0,contention,2,tcc-bes-g0-contention-run2,success,14250,77.97006588299361,0,6.008357667298253,10.5452554,18.07876859999999,590.073959,1,14250,0,3524
G0,contention,3,tcc-bes-g0-contention-run3,success,14064,77.24593380993608,0,10.058555785054029,12.666535100000011,24.23525619999986,910.87836,1,14064,0,3456
G0,spike,1,tcc-bes-g0-spike-run1,success,21717,120.00723392598397,0,5.208375637104608,10.6999202,14.3641728,486.297447,1,21717,0,4803
G0,spike,2,tcc-bes-g0-spike-run2,success,21756,120.44921224645132,0,4.735147029876809,10.762588000000001,14.34965825,228.516091,1,21756,0,4816
G0,spike,3,tcc-bes-g0-spike-run3,success,21902,121.208004404923,0,4.207844115057997,9.366591000000009,12.220886350000002,306.127591,1,21902,0,4884
G0,steady,1,tcc-bes-g0-steady-run1,success,6833,37.44735760486305,0,6.725461601492713,13.824339800000004,17.308797799999997,425.79389,1,6833,0,1688
G0,steady,2,tcc-bes-g0-steady-run2,success,6777,37.25885403700285,0,5.157984651468177,9.114424200000006,11.645700199999995,237.995762,1,6777,0,1667
G0,steady,3,tcc-bes-g0-steady-run3,success,7044,38.90852351678021,0,6.332751637989769,14.163179299999998,17.442484449999995,224.856478,1,7044,0,1760
G1,contention,1,tcc-bes-g1-contention-run1,success,13468,73.85940472722105,0,7.7410999097861986,14.388147800000006,20.782273699999994,804.626588,1,13468,0,3131
G1,contention,2,tcc-bes-g1-contention-run2,success,13570,74.5313291221013,0,6.97590045379515,12.589924600000009,19.44536105,708.255977,1,13570,0,3182
G1,contention,3,tcc-bes-g1-contention-run3,success,13659,75.10464376161856,0,6.499827439124405,13.204899200000005,19.084772199999986,665.237345,1,13659,0,3225
G1,spike,1,tcc-bes-g1-spike-run1,success,20872,115.45957199462097,0,3.1740493674300363,8.848285400000002,11.51699755,121.353046,1,20872,0,4356
G1,spike,2,tcc-bes-g1-spike-run2,success,20824,115.1861247717713,0,3.2186165236265705,9.207923100000002,12.107140699999995,135.421299,1,20824,0,4327
G1,spike,3,tcc-bes-g1-spike-run3,success,20569,113.61941341339076,0,3.7767074937527645,9.9249654,13.1066758,124.76576,1,20569,0,4210
G1,steady,1,tcc-bes-g1-steady-run1,success,6429,35.50259271085513,0,11.532099981490122,22.922547399999996,29.573902399999962,326.14014,1,6429,0,1565
G1,steady,2,tcc-bes-g1-steady-run2,success,6354,35.13124112674574,0,11.092520352848586,20.580683699999998,24.778098949999993,433.396993,1,6354,0,1540
G1,steady,3,tcc-bes-g1-steady-run3,success,6517,35.994690716907144,0,9.691249043118022,19.687135000000012,23.282064399999996,389.305331,1,6517,0,1591
G2,contention,1,tcc-bes-g2-contention-run1,success,13014,71.26862309417614,0,13.312866626402338,27.850897800000002,35.51670249999998,1134.152536,1,13014,0,2941
G2,contention,2,tcc-bes-g2-contention-run2,success,12974,70.64380165540369,0,13.215312102050294,26.997583500000005,34.64204305,1022.97502,1,12974,0,2918
G2,contention,3,tcc-bes-g2-contention-run3,success,12967,71.19970804056922,0,12.879193386982282,26.6069042,33.821895699999985,1078.803434,1,12967,0,2921
G2,spike,1,tcc-bes-g2-spike-run1,success,19638,108.44668719432913,0,10.78714356604544,28.5109272,40.006004999999995,602.919038,1,19638,0,3804
G2,spike,2,tcc-bes-g2-spike-run2,success,19861,109.45535429731784,0,7.799519853934855,23.438097,30.006806,318.919851,1,19861,0,3885
G2,spike,3,tcc-bes-g2-spike-run3,success,19933,109.9990218828258,0,7.666526099282631,23.339130799999996,29.82770899999999,260.585241,1,19933,0,3927
G2,steady,1,tcc-bes-g2-steady-run1,success,5969,32.92496107112429,0,21.662482988272703,43.0577714,53.953760799999976,434.248311,1,5969,0,1431
G2,steady,2,tcc-bes-g2-steady-run2,success,6113,33.614650516099125,0,17.774909535089105,33.7469328,42.08918779999998,630.421,1,6113,0,1473
G2,steady,3,tcc-bes-g2-steady-run3,success,6240,34.445348525079346,0,16.27011635464749,30.944065200000004,36.81064999999991,359.452232,1,6240,0,1512
G3,contention,1,tcc-bes-g3-contention-run1,success,13311,72.81047389433358,0,15.217984721057633,24.683497,32.952587,999.134046,1,13311,0,3114
G3,contention,2,tcc-bes-g3-contention-run2,success,13293,72.56375557554186,0,15.83293455352438,24.923466800000007,33.20093119999999,1062.660851,1,13293,0,3106
G3,contention,3,tcc-bes-g3-contention-run3,success,13327,73.22984267692168,0,15.143978334733985,25.162745599999997,32.67181759999997,1053.386251,1,13327,0,3123
G3,spike,1,tcc-bes-g3-spike-run1,success,20242,111.97368908922435,0,10.159946529592009,22.504953500000006,28.358874100000005,290.578005,1,20242,0,4101
G3,spike,2,tcc-bes-g3-spike-run2,success,20280,111.87278233051059,0,10.304007184664746,22.326249100000013,28.288276999999994,279.094261,1,20280,0,4128
G3,spike,3,tcc-bes-g3-spike-run3,success,20291,112.10326066976472,0,10.419961910157296,22.58871,28.9461955,285.551951,1,20291,0,4140
G3,steady,1,tcc-bes-g3-steady-run1,success,6255,34.31578166987843,0,22.056333200639543,34.0531742,41.46188259999995,692.698088,1,6255,0,1529
G3,steady,2,tcc-bes-g3-steady-run2,success,6257,34.40234227661543,0,22.125278559533186,34.27955400000002,41.231221399999995,568.610074,1,6257,0,1530
G3,steady,3,tcc-bes-g3-steady-run3,success,6348,34.93850275328223,0,20.342108973692476,33.5835737,44.88821224999997,545.178442,1,6348,0,1556
